Database of Agriculture from Mediterranean-Basin and Europe (DAME);;;;;;;;;;;;;
Degree of Detail Table;;;;;;;;;;;;;
Country (Name Level 0);Name Level 1;Name Level 2;Name Level 3;Name Level 4;Level reached;Source Data;Data Format Observations;Year;HDD Cereals;HDD Industrial Crops;HDD Vegetables;HDD Fruit Trees;Observations on crops
Morocco;NA;Regions (جهات المغرب);Province or Prefecture (الإقلي  أو العمالة);Municipalities or Arrondissements;3;(1) Haute Comisariat au Plan de Maroc: Banque des Données Régionales & Monographies Régionales;Diverse Sources for each province. Join province shapefiles for Rabat, Salé and Shkirate- Témara. Join province shapefiles for Béni Mellal and Fquih Ben Salah and for Médiounna, Mohammadia, Nouaceur and Casablanca in Casablanca.;from 2019 to 2022;3;3;3;2 and 3;
Morocco;NA;Regions (جهات المغرب);Province or Prefecture (الإقلي  أو العمالة);Municipalities or Arrondissements;3;    (2) Annuaire Statistique du Maroc 2022, chapter 3, Agriculture;;2022;3;3;3;2 and 3;
Netherlands;NA;Provinces (provincies);COROP regions;Municipalities;2;STATLine - CBS (Statistics Netherlands);Vegetables for whole country, Arable for provinces. Other data available for COROPs not included;2023;1 and 3;1 and 3;1, 2 and 3;1;
North Macedonia;NA;NA;Statistical Regions (регион);Municipalities (општини, opštini);4;MAKSTAT - State Statistical Office, Republic of North Macedonia;Data from municipalities was summarised into statistical regions using R. Number of trees for several permanent crops were incorporated to the raw data, then removed after group-summarise tasks and final data formatting in Excel;2023;3;3;3;0;No fruit data
Norway;NA;Regions;Counties (Fylke);Municipality (kommuner);3;Statistics Norway;Some counties do not correspond to current NUTS3 regions;2023;3;2;1 and 3;1;Few data
Palestine;NA;Palestinian Territories (الأراضي الفلسطينية): West Bank and Gaza Strip;Governorates (محافظات muḥāfẓat);;3;Central Bureau of Statistics - Palestine;;2008;3;3;3;3;
Poland;NA;Voivodeship or Regions (województwo or regiony);Subregions (podregiony);;3;Statistics Poland;;2022;3;2 and 3;1 and 3;3;
Portugal;NA;Regions;Subregions (subregiões);Municipalities (distritos);2 to 3;Instituto Nacional de Estadistica ;;2019;3;3;3;3;Few vegetables
Romania;Macroregions;Development Regions (Regiunile de dezvoltare ale României);Counties (județe);Municipality (municipiu);3;Institutul Naţional de Statistică ;;2018;1 and 3;2 and 3;1 and 3;1, 2 and 3;
Serbia;;Regions (Региони / Regioni);District (Okrug Округ ) or Oblast;Municipality (општине и градови / opštine i gradovi);3;PBC - Statistical Office of the Republic of Serbia;;2018;3;1, 2 and 3;1, 2 and 3;1, 2 and 3;Few vegetables
Slovakia;;Oblasts;Regions (kraj or vyššie územné celky);Municipality (obce);3;DATACube - Statistical Office of the Republic of Slovakia;;2020;1 and 3;1, 2 and 3;1, 2 and 3;1, 2 and 3;
Slovenia;;Macroregions (kohezijske regije);Statistical regions (statistične regije);Municipality (občina);3;SiSTAT - Republic of Slovenia Statistical Office;;2020;1 and 3;1, 2 and 3;1, 2 and 3;1 and 2;Few fruits
Spain;Groups of Autonomous Regions;Comunidades Autónomas y Ciudades Autónomas;Provincias e Islas;Municipality (municipio);3;Ministerio de Agricultura, Pesca y Alimentación;Data for archipielagos rather than individual islands;2022;3;1 and 3;1, 2 and 3;2 and 3;
Sweden;Regions (Grupper av riksområden);National Areas (riksområden);Counties (Län);Municipality (kommuner);3;Jordbruksverter - Swedish Agricultural Agency;;2023;3;3;1, 2 and 3;3;"Few crops, ""peach haven"" is missclassified"
Switzerland;NA;Regions;Cantons;Municipality;3;STAT TAB - Office Fédérale de la Statistique;;2022;1 and 3;3;1, 2 and 3;1, 2 and 3;
Syria;NA;NA;Governorates (محافظات muḥāfẓat);Districts (manāṭiq);3;Central Bureau of Statistics - Syrian Arab Republic;;2010;3;1 and 3;2 and 3;1, 2 and 3;
Tunisia;NA;Districts;Governorates or Wilāya (وَلاية);Delegations (mutamadiyah);3;AgriData - Ministère de l'Agriculture, des Ressources Hydrauliques et de la Pêche;"Data partitioned in multiple pdfs. Some have been translated from arab to french or English. Temporal replacement  is ignored (e.g., arriere saison and primeurs are counted as independent crops summing the sown hectares although they may be sown in the same area in different seasons). Data on Basbas (بسباس) might be mistranslated and has been identified as chili pepper (standardized as pepper). Data from reference #142 are only retained for governorates that had not any data on ""cultures mâraicheres d'été ou d'hiver"", and ignored for those that already had this kind of data. Data on fenouille (بسباس) has been included within ""onion"" std. crop. Arboriculture data from ref #143 is introduced only for those fruits that had not any specific filière. When arboriculture data was available from governorate data sets, they were replaced by data of this reference";several;1 and 3;1;1, 2 and 3;2 and 3;
Turkey;NA;NA;Provinces (il);Districts (ilçe);3;Central Dissemination Data - Turkish Statistical Institute;"01.13.39.00.07. (Pepino) has been translated to ""courgette"" (since ""cucumber"" was already clearly translated from other cells).";2023;3;3;3;3;
Ukraine;NA;NA;Oblasts (область);Districts (raions);3;Derzhstat -Databank;;2021;3;1, 2 and 3;1, 2 and 3;1, 2 and 3;
United Kingdom;Scotland;Groups of Council Areas;Council Areas;Councils;3;Statistics of Scottish Government;"Data was not consistently separated into any administrative unit type. We used Health Boards with minor corrections, namely (1) Joining Greater Glasgow and Clyde with Lanarkshire spatial units to our dataset's Clyde Valley, (2) Adding together our dataset's rows for Highlands and Argyl & Butte for equivalency with current Highland polygon;  and asumming Forth Valley as equivalent to Central";2023;3;2;1, 2 and 3;1;Few crops
United Kingdom;Wales;NA;Principal Areas of Wales (Prif ardaloedd Cymru);NA;3;National Statistics - Welsh Government;;2019;3;0;1 and 3;0;Few crops
United Kingdom;England;Regions of England;Unitarity Authorities;Districts;2 to 3;Department of Environment, Food and Rural Affairs (UK DEFRA) - Farming Statistics;;2023;1 and 3;3;1, 2 and 3;1;Few crops
United Kingdom;Northern Ireland;NA;Counties;Local Government Districts or District Council Areas;3;Department of Agriculture, Environment and Rural Affairs (UK - Defra) - Agricultural Census in Northern Ireland;;2023;1;0;1 and 3;0;Few crops
