Database of Agriculture from Mediterranean-Basin and Europe (DAME);;;;;;;;;;;;
Decision-Making Table;;;;;;;;;;;;
Country;Administrative Level;Source Crop;Decision;Std Crop;Crop Subgroup;Crop Group;Area Type;Unit transformation;Source Units;Yield Data Availability;Production Data Availability;Source Data
Cyprus;4;Walnuts;Keep and rename;walnut;nuts fruits;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Chestnuts;Keep and rename;chestnut;nuts fruits;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Pistachios;Keep and rename;pistachio;nuts fruits;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Hazelnuts;Keep and rename;hazelnut;nuts fruits;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Berries;Keep and rename;berries total;berries;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Carobs;Keep and rename;carob;stone fruits;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Citrus;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Oranges;Keep and rename;sweet orange;citrus fruits;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Lemons;Keep and rename;lemon;citrus fruits;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Mandarins;Keep and rename;mandarin;citrus fruits;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Clementines;Keep and rename;clementine;citrus fruits;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Grapefruit and pomelos;Keep and rename;grapefruit;citrus fruits;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Other citrus (mandarin oranges etc.);Keep and rename;other citrus;citrus fruits;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Vineyards;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;For wine production PDO;Group and Sum;vineyards for wine;vineyards;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;For wine production PGI;Group and Sum;vineyards for wine;vineyards;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;For other wine production (without PDO/PGI);Group and Sum;vineyards for wine;vineyards;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Table grapes;Keep and rename;vineyards for table grapes;vineyards;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;For raisins;Keep and rename;vineyards for raisin;vineyards;fruit trees;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Permanent grassland no longer used for production pusposes and eligible for subsidies;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Rough grazings;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Permanent pastures and meadows;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Permanent grassland;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Permanent crops under glass;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Temporary crops under grass;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Other permanent crops outdoor;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Vineyards;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Citrus;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Nuts;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Fruit trees;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Olive plantations;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Other arable crops outdoors;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Fallow land;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Plants harvested green;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Flowers and ornamental plants;Keep and rename;ornamental plants and flowers;ornamental plants and flowers;ornamental plants and flowers;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Fresh vegetables, melons and strawberries;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Root crops;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Dry pulses for the production of grain;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Cyprus;4;Cereals for the production of grain;Drop;;;;Utilised Area;Re-scaled;decares;no;no;30
Denmark;2 to 3;1. Cereals for the production of grain;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;1. Cereals for the production of grain;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;1.1 Common wheat;Keep and rename;common wheat;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;1.1.1 Common winter;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;1.1.2 Common spring wheat;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;1.2 Barley;Keep and rename;barley;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;1.2.1 Winter barley;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;1.2.2 Spring barley;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;1.3 Rye;Keep and rename;rye;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;1.4 Oats;Keep and rename;oats;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;1.5 Triticale;Keep and rename;triticale;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;1.6 Grain maize and corn-cob mix;Keep and rename;maize;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;1.7 Mixed grains and other cereals;Keep and rename;other cereals;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;2. Pulses;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;2.1 Pulses for the production of grain;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;2.2 Horse beans;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;2.3 Other pulses;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;3. Root crops;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;3.1 Potatoes;Keep and rename;potato;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;3.1.1 Seed potatoes;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;3.1.2 Potatoes for manufacturing;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;3.1.3 Potatoes for human consumption;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;3.2 Sugar beets;Keep and rename;sugar beet;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;3.3 Beets and other root crops for fodder;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;4. Industrial crops;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;4.1 Rape;Keep and rename;oilseed rape;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;4.1.1 Winter rape;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;4.1.2 Spring rape;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;4.2 Flax;Drop;fiber flax;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;4.3 Other industrial crops;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;5. Seeds for sowing;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;6. Temporary grass and green fodder;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;6.1 Lucerne;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;6.2 Green maize;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;6.3 Cereals and pulses harvested green;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;6.4 Temporary grass and clover;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;7. Horticultural crops;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;7.1 Vegetables grown outdoors;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;7.2 Peas for human consumption;Keep and rename;green peas;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;7.3 fruits and berries;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;7.3.1 Apples;Keep and rename;apple;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;7.3.2 Pears;Keep and rename;pear;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;7.3.3 Strawberries;Keep and rename;strawberry;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;7.3.4 Cherries;Keep and rename;cherries;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;7.3.5 Blackcurrants;Keep and rename;blackcurrants;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;7.3.6 Redcurrants;Keep and rename;redcurrants;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;7.3.7 Other fruits and berries;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;7.4 Bulbs and flowers;Keep and rename;flowers;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;7.5 Nursery area;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;8. Permanent grassland;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;9. Christmas trees and decorative greenery;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;10. Fallow land;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;10.1 Fallow land with subsidies;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;10.2 Fallow land without subsidies;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;Agriculture and horticulture total;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;11. Other crops;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;A. Irrigable area;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;A 1. Irrigated area in the past year;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;B. Area with zero or low tillage;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;B 1 Zero tillage (direct seeding);Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;B 2 Conservation tillage (low tillage);Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;C. Forest belonging to agricultural farms;Drop;;;;Sown Area;Original;hectares;yes;yes;33
Denmark;2 to 3;Cauliflower;Keep and rename;cauliflower;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Broccoli;Keep and rename;broccoli;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;White- and pointed cabbage;Keep and rename;white cabbage;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Red cabbage;Keep and rename;red cabbage;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Chinese cabbage;Keep and rename;Chinese cabbage;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Kale;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Brussels sprouts;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Other cabbages;Keep and rename;other cabbage;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Leeks;Keep and rename;leek;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Iceberg lettuce;Group and Sum;lettuce;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Other lettuces;Group and Sum;lettuce;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Spinach;Keep and rename;spinach;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Aspargus;Keep and rename;asparagus;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Celery;Drop;celery;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Other leafy or stalked vegetables;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Large cucumber;Keep and rename;cucumber;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Squash;Keep and rename;squash;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Other vegetables cultivated for fruit;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Carrots;Keep and rename;carrot;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Onions;Keep and rename;onion;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Celeriac;Keep and rename;celeriac;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Jerusalem artichoke;Keep and rename;artichoke;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Beetroot;Keep and rename;beet root;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Parsnip;Keep and rename;parsnip;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Hamburg parsley;Drop;parsley;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Other root, tuber and bulb vegetables;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Peas fro human consumption;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Beans;Keep and rename;green beans;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Other pulses;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Herbs;Keep and rename;aromatic and medicinal herbs;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Other vegetables;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Lettuce, greenhouses;Keep and rename;lettuce greenhouse;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Tomatoes, greenhouses;Keep and rename;tomato greenhouse;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Cucumbers, greenhouses;Keep and rename;cucumber greenhouse;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Sweet corn;Keep and rename;sweet corn greenhouse;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Appels;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Pears;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Sour cherries total;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Sour cherries, Stevns-cherries (2003-2012);Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Sour cherries, Kelleries (2003-2012);Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Sour cherries, other (2003-2012);Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Sweet cherries;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Plums;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Black currant;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Red currant;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Gooseberries;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Hipberries;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Blueberries;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Other bush fruit;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Strawberries;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Raspberries;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Blackberries;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Denmark;2 to 3;Berries, other;Drop;;;;Sown Area;Original;hectares;yes;yes;34
Czech Republic;3;Wheat;Keep and rename;wheat;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Winter common wheat;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Spring common wheat;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Rye;Keep and rename;rye;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Barley;Keep and rename;barley;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Winter barley;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Spring barley;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Oats;Keep and rename;oats;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Triticale;Keep and rename;triticale;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Grain maize;Keep and rename;maize;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Buckwheat;Keep and rename;buckwheat;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Other cereals for grain;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Pulses and protein crops for grain;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Field peas for grain;Keep and rename;dry peas;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Sweet lupins for grain;Keep and rename;lupins;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Broad and field beans for grain;Keep and rename;kidney beans;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Root crops;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Potatoes;Keep and rename;potato;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Potatoes (excl. early and seed ones);Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Sugar beet;Keep and rename;sugar beet;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Forage beet;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Other root crops;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Industrial crops;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Oil seed crops;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Rape seed;Keep and rename;oilseed rape;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Sunflower seed;Keep and rename;sunflower;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Soya;Keep and rename;soybean;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Poppy;Keep and rename;poppy seed;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Mustard seed;Keep and rename;mustard seed;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Medicinal, aromatic and culinary plants;Keep and rename;aromatic and medicinal herbs;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Arable fodder crops;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Temporary grasses and grazings;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Green maize;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Cereals harvested green (excl. maize);Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Clover;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Lucerne;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Legume-grass mixtures;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Leguminous plants harvested green and their mixtures (except legume-grass mixtures);Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Other fodder crops on arable land;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Fresh vegetables;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Root and bulb vegetables;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Celeriac;Keep and rename;celeriac;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Carrots;Keep and rename;carrot;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Onions;Keep and rename;onion;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Brassicas;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Cabbages;Keep and rename;cabbage;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Fruit vegetables;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Fresh pulses;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Leafy and stalked vegetables;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Strawberries;Keep and rename;strawberry;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Flowers and ornamental plants;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Crops for seeds and seedlings;Drop;;;;Sown Area;Original;hectares;yes;yes;31
Czech Republic;3;Orchard area (ha);Drop;;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Apple trees;Keep and rename;apple;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Pear trees;Keep and rename;pear;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Peach trees;Keep and rename;peach;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Apricot trees;Keep and rename;apricot;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Sweet cherry trees;Keep and rename;sweet cherries;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Sour cherry trees;Keep and rename;sour cherries;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Plum trees;Keep and rename;plum;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Walnut trees;Keep and rename;walnut;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Hazelnut bushes;Keep and rename;hazelnut;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Almond trees;Keep and rename;almond;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Chestnut trees;Keep and rename;chestnut;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Red and white currant bushes;Keep and rename;redcurrants;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Black currant bushes;Keep and rename;blackcurrants;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Gooseberry bushes;Keep and rename;gooseberries;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Blackberry bushes;Keep and rename;blackberries;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Raspberry bushes;Keep and rename;raspberries;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Blueberries;Keep and rename;blueberries;;;Sown Area;Original;hectares;yes;yes;32
Czech Republic;3;Other fruit trees and bushes;Keep and rename;other berries;;;Sown Area;Original;hectares;yes;yes;32
Egypt;3;Total Permanent;Drop;;;;Sown Area;Re-scaled;feddan;no;no;35
Egypt;3;Wood Trees;Drop;;;;Sown Area;Re-scaled;feddan;no;no;35
Egypt;3;Fruits from subtropical and tropical climate zones;Drop;;;;Sown Area;Re-scaled;feddan;no;no;35
Egypt;3;Palm Dates;Drop;;;;Sown Area;Re-scaled;feddan;no;no;35
Egypt;3;Sugar Cane;Drop;;;;Sown Area;Re-scaled;feddan;no;no;35
Egypt;3;Alfalfa Crop;Drop;;;;Sown Area;Re-scaled;feddan;no;no;35
Egypt;3;T. Vegetables and winter Crops;Drop;;;;Sown Area;Re-scaled;feddan;no;no;35
Egypt;3;General total;Drop;;;;Sown Area;Re-scaled;feddan;no;no;35
Egypt;3;(White)Maize;Keep and rename;white maize;maize;cereals;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Barley;Keep and rename;barley;barley;cereals;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Wheat;Keep and rename;wheat;wheat;cereals;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Rice Crop;Keep and rename;rice;rice;cereals;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Sorghum Crop;Keep and rename;sorghum;sorghum;cereals;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;(Corn)Maize;Keep and rename;maize;maize;cereals;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Lentil;Keep and rename;lentils;legumes;vegetables;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Green Broad beans;Keep and rename;faba beans;legumes;vegetables;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;;Drop;;legumes;vegetables;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Lupine;Keep and rename;lupins;legumes;vegetables;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Chickpeas;Keep and rename;chickpeas;legumes;vegetables;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Fenugreek dry;Keep and rename;fenugreek;legumes;vegetables;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Sugar Cane;Keep and rename;sugar cane;sugar;industrial crops;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Sugar Beet;Keep and rename;sugar beet;sugar;industrial crops;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Clover Tahreesh;Drop;;;;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Clover;Drop;;;;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Alfalfa Crop;Drop;;;;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;(For Seed Production) Clover;Drop;;;;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Medicinal, Aromatic Plant;Keep and rename;aromatic and medicinal herbs;aromatic and medicinal herbs;aromatic and medicinal herbs;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Green Fodder;Drop;;;;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Cotton;Keep and rename;cotton;fiber crops;industrial crops;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Flax;Keep and rename;fiber flax;fiber crops;industrial crops;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Green Onion;Group and Sum;onion;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Fully grown Onion;Group and Sum;onion;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Garlic;Keep and rename;garlic;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Onion Pickling;Group and Sum;onion;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Onion (seed crop);Group and Sum;onion;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Sun flower;Keep and rename;sunflower;oilseeds;industrial crops;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Sesame;Keep and rename;sesame;oilseeds;industrial crops;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Soybeans;Keep and rename;soybean;oilseeds;industrial crops;Sown Area;Re-scaled;feddan;no;yes;35
Egypt;3;Peanuts;Keep and rename;groundnut;oilseeds;industrial crops;Sown Area;Re-scaled;feddan;no;yes;35
