Database of Agriculture from Mediterranean-Basin and Europe (DAME);;;;;;;;;;;;
Decision-Making Table;;;;;;;;;;;;
Country;Administrative Level;Source Crop;Decision;Std Crop;Crop Subgroup;Crop Group;Area Type;Unit transformation;Source Units;Yield Data Availability;Production Data Availability;Source Data
Spain;3;COLZA;Keep and rename;oilseed rape;oilseeds;industrial crops;Sown Area;Original;hectares;yes;yes;116
Spain;3;CACAHUETE;Keep and rename;groundnut;oilseeds;industrial crops;Sown Area;Original;hectares;yes;yes;116
Spain;3;PIMIENTO PARA PIMENTÓN (DESECADO);Keep and rename;pepper pimenton;fruiting vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;TABACO (SECO NO FERMENTADO);Keep and rename;tobacco;other industrial crops;industrial crops;Sown Area;Original;hectares;yes;yes;116
Spain;3;LÚPULO (EN SECO);Keep and rename;hop;other industrial crops;industrial crops;Sown Area;Original;hectares;yes;yes;116
Spain;3;HORTALIZAS;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;COL;Drop;;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;Col-repollo de hojas lisas;Keep and rename;white cabbage;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;Col-repollo de hojas rizadas;Keep and rename;savoy cabbage;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;Col de Bruselas;Keep and rename;brussels sprouts;flowering vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;Otras coles;Keep and rename;other cabbage;;;Sown Area;Original;hectares;yes;yes;116
Spain;3;ESPARRAGO;Keep and rename;asparagus;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;LECHUGA;Keep and rename;lettuce;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;ESCAROLA;Keep and rename;endive;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;ESPINACA;Keep and rename;spinach;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;ACELGA;Keep and rename;chard;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;CARDO;Keep and rename;thistle;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;ACHICORIA VERDE;Keep and rename;chicory;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;APIO;Keep and rename;celery;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;GRELO;Keep and rename;rapini;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;SANDÍA;Keep and rename;watermelon;fruiting vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;MELÓN;Keep and rename;melon;fruiting vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;CALABAZA;Keep and rename;pumpkin;fruiting vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;PEPINO;Keep and rename;cucumber;fruiting vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;CALABACÍN;Keep and rename;courgette;fruiting vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;BERENJENA;Keep and rename;eggplant;fruiting vegetables;;Sown Area;Original;hectares;yes;yes;116
Spain;3;TOMATE;Keep and rename;tomato;fruiting vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;PIMIENTO;Keep and rename;pepper;fruiting vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;FRESA Y FRESÓN;Keep and rename;strawberry;fruiting vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;ALCACHOFA;Keep and rename;artichoke;flowering vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;COLIFLOR;Keep and rename;cauliflower;flowering vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;BROCOLI;Keep and rename;broccoli;flowering vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;CEBOLLA;Keep and rename;onion;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;PUERRO;Keep and rename;leek;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;ZANAHORIA;Keep and rename;carrot;tubers and rooting vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;JUDÍAS VERDES;Keep and rename;beans;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;GUISANTES VERDES;Keep and rename;peas;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
Spain;3;HABAS VERDES;Keep and rename;faba beans;leafy/shooting/bulbous vegetables;vegetables;Sown Area;Original;hectares;yes;yes;116
